,X,Y,Z,id,nugget
0,0.0,0.0,-20.999999999999993,97651452,1e-05
1,20.0,0.0,-11.952309697661981,97651452,1e-05
2,30.0,0.0,-1.0,97651452,1e-05
3,0.0,0.0,-39.0,61126703,1e-05
4,20.0,0.0,-30.609359104408114,61126703,1e-05
5,40.0,0.0,-15.999999999999993,61126703,1e-05
6,0.0,0.0,-61.0,95037583,1e-05
7,20.0,0.0,-50.67522494779823,95037583,1e-05
8,60.0,0.0,-27.0,95037583,1e-05
9,0.0,0.0,-72.0,24059847,1e-05
10,30.0,0.0,-55.5,24059847,1e-05
11,60.0,0.0,-39.0,24059847,1e-05
12,20.0,0.0,-75.31773474307731,34299906,1e-05
13,60.0,0.0,-52.0,34299906,1e-05
14,70.0,0.0,-77.0,53811596,1e-05
15,80.0,0.0,-71.0,53811596,1e-05
