,X,Y,Z,id,nugget
0,0.0,0.0,-20.999999999999993,23601746,1e-05
1,20.0,0.0,-11.350456757715008,23601746,1e-05
2,30.0,0.0,-1.0,23601746,1e-05
3,0.0,0.0,-39.0,57667886,1e-05
4,20.0,0.0,-27.396455809438947,57667886,1e-05
5,40.0,0.0,-15.999999999999993,57667886,1e-05
6,0.0,0.0,-61.0,96459520,1e-05
7,20.0,0.0,-49.434314614268956,96459520,1e-05
8,60.0,0.0,-27.0,96459520,1e-05
9,0.0,0.0,-72.0,41711108,1e-05
10,30.0,0.0,-55.5,41711108,1e-05
11,60.0,0.0,-39.0,41711108,1e-05
12,20.0,0.0,-74.52333948670265,9157040,1e-05
13,60.0,0.0,-52.0,9157040,1e-05
14,70.0,0.0,-77.0,40831692,1e-05
15,80.0,0.0,-71.0,40831692,1e-05
