,X,Y,Z,id,nugget
0,0.0,0.0,-20.999999999999993,84656275,1e-05
1,20.0,0.0,-14.93611437963861,84656275,1e-05
2,30.0,0.0,-1.0,84656275,1e-05
3,0.0,0.0,-39.0,28256875,1e-05
4,20.0,0.0,-29.8186348757448,28256875,1e-05
5,40.0,0.0,-15.999999999999993,28256875,1e-05
6,0.0,0.0,-61.0,69377041,1e-05
7,20.0,0.0,-51.970341099066545,69377041,1e-05
8,60.0,0.0,-27.0,69377041,1e-05
9,0.0,0.0,-72.0,8260236,1e-05
10,30.0,0.0,-55.5,8260236,1e-05
11,60.0,0.0,-39.0,8260236,1e-05
12,20.0,0.0,-76.67722838414697,23485424,1e-05
13,60.0,0.0,-52.0,23485424,1e-05
14,70.0,0.0,-77.0,80123966,1e-05
15,80.0,0.0,-71.0,80123966,1e-05
