,X,Y,Z,id,nugget
0,0.0,0.0,-20.999999999999993,131679,1e-05
1,20.0,0.0,-13.138916595626839,131679,1e-05
2,30.0,0.0,-1.0,131679,1e-05
3,0.0,0.0,-39.0,55153424,1e-05
4,20.0,0.0,-40.39670595071428,55153424,1e-05
5,40.0,0.0,-15.999999999999993,55153424,1e-05
6,0.0,0.0,-61.0,56587898,1e-05
7,20.0,0.0,-52.097463715936996,56587898,1e-05
8,60.0,0.0,-27.0,56587898,1e-05
9,0.0,0.0,-72.0,55459953,1e-05
10,30.0,0.0,-55.5,55459953,1e-05
11,60.0,0.0,-39.0,55459953,1e-05
12,20.0,0.0,-76.11200761106085,86403095,1e-05
13,60.0,0.0,-52.0,86403095,1e-05
14,70.0,0.0,-77.0,77494211,1e-05
15,80.0,0.0,-71.0,77494211,1e-05
