,X,Y,Z,id,nugget
0,0.0,0.0,-20.999999999999993,44090145,1e-05
1,20.0,0.0,-11.445491415377475,44090145,1e-05
2,30.0,0.0,-1.0,44090145,1e-05
3,0.0,0.0,-39.0,92875109,1e-05
4,20.0,0.0,-40.10169813982088,92875109,1e-05
5,40.0,0.0,-15.999999999999993,92875109,1e-05
6,0.0,0.0,-61.0,68148893,1e-05
7,20.0,0.0,-51.17261027684225,68148893,1e-05
8,60.0,0.0,-27.0,68148893,1e-05
9,0.0,0.0,-72.0,36123880,1e-05
10,30.0,0.0,-55.5,36123880,1e-05
11,60.0,0.0,-39.0,36123880,1e-05
12,20.0,0.0,-75.16644476402334,62579804,1e-05
13,60.0,0.0,-52.0,62579804,1e-05
14,70.0,0.0,-77.0,8421400,1e-05
15,80.0,0.0,-71.0,8421400,1e-05
